Imports/Exports,Time,Commodity Code,Description of Good,Value(USD$ 1000)
Imports,2022/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1823251
Imports,2022/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1795837
Imports,2022/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2275261
Imports,2022/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2354273
Imports,2022/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2215619
Imports,2022/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2460126
Imports,2022/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2677610
Imports,2022/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2755258
Imports,2022/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2113669
Imports,2022/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,3139011
Imports,2022/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2908963
Imports,2022/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,3170006
Imports,2023/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2146618
Imports,2023/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2420445
Imports,2023/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2171568
Imports,2023/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1712582
Imports,2023/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1831534
Imports,2023/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1485540
Imports,2023/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1843891
Imports,2023/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1170383
Imports,2023/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,859367
Imports,2023/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1301606
Imports,2023/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1229806
Imports,2023/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1465001
Imports,2024/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,989603
Imports,2024/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,706353
Imports,2024/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1031188
Imports,2024/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1861031
Imports,2024/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1550574
Imports,2024/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1494270
Imports,2024/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1790072
Imports,2024/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1532016
Imports,2024/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1317437
Imports,2024/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1615336
Imports,2024/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1504923
Imports,2024/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2179523
Imports,2025/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1297363
Imports,2025/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2303017
Imports,2025/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2848058
Imports,2025/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2567771
Imports,2025/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2406898
Imports,2025/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2775593
Imports,2025/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2358828
Imports,2025/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2813214
Imports,2025/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2634621
Imports,2025/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,1940991
Imports,2025/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2750746
Imports,2025/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2511032
Imports,2026/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,2320335
