Imports/Exports,Time,Commodity Code,Description of Good,Value(USD$ 1000)
Exports,2022/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,523142
Exports,2022/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,306798
Exports,2022/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,407987
Exports,2022/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,446737
Exports,2022/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,394064
Exports,2022/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,441193
Exports,2022/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,502250
Exports,2022/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,450077
Exports,2022/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,376373
Exports,2022/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,426966
Exports,2022/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,356062
Exports,2022/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.,438194
