Period,GEN_VAL_MO,GEN_VAL_YR,AIR_VAL_MO,VES_VAL_MO,HTS_Desc,Country,State,MoM_Change_USD,MoM_Change_Pct,Possible_High_NA_Delivery,Air_Pct
2023-03-01,21650187,30361019,21650187,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,,,False,100.0
2023-04-01,21149,30382168,21149,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-21629038.0,-99.90231493150613,False,100.0
2023-05-01,30847482,61229650,30847482,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,30826333.0,145757.87507683577,False,100.0
2023-06-01,570489,61800139,570489,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-30276993.0,-98.15061404363573,False,100.0
2023-07-01,16398698,78198837,16398698,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,15828209.0,2774.4985442313523,False,100.0
2023-08-01,554439,78753276,554439,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-15844259.0,-96.61900597230341,False,100.0
2023-09-01,205822,78959098,205822,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-348617.0,-62.877431060946286,False,100.0
2023-10-01,22267,78981365,22267,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-183555.0,-89.18142861307344,False,100.0
2023-11-01,38542745,117524110,38542745,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,38520478.0,172993.56895854854,False,100.0
2023-12-01,202283,117726393,202283,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-38340462.0,-99.47517230544945,False,100.0
2024-01-01,48410602,48410602,48410602,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,48208319.0,23832.115897035343,False,100.0
2024-02-01,368492,48779094,368492,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-48042110.0,-99.23881962880775,False,100.0
2024-03-01,0,48779094,0,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-368492.0,-100.0,False,
2024-04-01,34274959,83054053,34274959,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,34274959.0,inf,False,100.0
2024-05-01,3066279,86120332,3066279,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-31208680.0,-91.05387988939681,False,100.0
2024-06-01,46929,86167261,46929,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-3019350.0,-98.46951304822555,False,100.0
2024-07-01,120118,86287379,120118,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,73189.0,155.95687101792072,False,100.0
2024-08-01,110498,86397877,110498,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-9620.0,-8.008791355167421,False,100.0
2024-09-01,14511381,100909258,14511381,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,14400883.0,13032.709189306592,False,100.0
2024-10-01,17501200,118410458,17501200,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,2989819.0,20.603269943777235,False,100.0
2024-11-01,16844668,135255126,16844668,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-656532.0,-3.7513541928553495,False,100.0
2024-12-01,49764635,185019761,49764635,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,32919967.0,195.43256655459166,False,100.0
2025-01-01,269580057,269580057,269580057,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,219815422.0,441.71010598188855,True,100.0
2025-02-01,0,269580057,0,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-269580057.0,-100.0,False,
2025-03-01,108475303,378055360,108475303,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,108475303.0,inf,True,100.0
2025-04-01,90341619,468396979,90341619,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-18133684.0,-16.716877942253827,True,100.0
2025-05-01,3433241,471830220,3433241,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-86908378.0,-96.19971278132617,False,100.0
2025-06-01,223987295,695817515,223987295,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,220554054.0,6424.077249456125,True,100.0
2025-07-01,24242696,720060211,24242696,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-199744599.0,-89.17675397615744,False,100.0
2025-08-01,90410088,810470299,90410088,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,66167392.0,272.9374323713831,True,100.0
2025-09-01,67584102,878054401,67584102,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-22825986.0,-25.247167108166067,True,100.0
2025-10-01,156174,878210575,156174,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-67427928.0,-99.7689190277323,False,100.0
2025-11-01,6730,878217305,6730,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,-149444.0,-95.69070395840536,False,100.0
2025-12-01,110287455,988504760,110287455,0,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,NETHERLANDS,OR,110280725.0,1638643.7592867755,True,100.0
